0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205
5178,i,1,"[1,1,1,-766,7841]",0,1,1,-1,4,-2,-6,1,6,2,3,-5,-3,4,12,2,-11,5,11,-10,5,10,2,14,0,15,10,0,5,-3,12,-18,-1,-6,-22,-4,-18,0,7,-6,23,2,24,-6,-16,-6,-12,19,-13,19,-20,-4,9,-16,0,2,-26,16,15,30,-2,26,22,-1,-22,26,10,-12,-24,9,34,-1,0,-24,-18,-38,-11,14,-33,12,21,-37,-10,14,-23,13,26,0,6,-23,-14,-14,-3,16,-16,-22,-31,-26,28,-3,-44,18,-6,-32,30,34,26,32,47,-16,30,-35,-34,14,-37,-19,-22,-39,16,-32,-18,36,-10,46,30,-19,-19,-20,-41,-13,4,21,-7,36,16,25,-21,-35,6,-37,30,-18,46,1,-23,12,-14,-24,-16,18,28,-1,-31,2,-29,-42,20,32,8,47,-39,10,32,-6,6,33,16,1,-29,-55,34,3,-36,42,45,-16,-16,-54,-40,-8,-16,-30,-32,35,-22,53,23,-14,6,-46,-28,6,34,-55,-30,-45,-47,-14,13,53,-24,-21
3885,k,2,"[1,0,1,-2237768,1288263683]",0,2,1,1,1,1,6,0,2,4,-4,-2,-8,-1,0,10,8,-2,4,4,-8,-6,-2,14,-16,6,12,8,-16,18,6,-6,-4,-4,2,12,2,20,-2,6,8,24,0,-2,-20,6,-18,8,-20,0,-4,-14,-6,-16,0,12,6,-2,-4,-24,-10,18,-16,-16,12,-24,8,-10,-6,-2,-8,26,6,18,-8,-22,-4,-8,-6,-34,-18,20,-12,34,28,-26,-20,-18,30,6,-14,-30,-20,-16,2,30,14,16,-32,-20,-16,18,30,14,4,6,-12,16,12,24,14,-30,-28,-6,18,-12,6,30,-44,-24,-46,-6,-40,-10,-8,24,-36,34,-26,-28,52,-22,-40,18,-28,-46,-12,-28,-12,-44,54,30,12,42,8,-48,-36,12,-24,-18,8,30,-34,24,34,52,-14,12,42,16,22,24,20,-26,-26,20,-46,8,42,8,6,-34,32,-28,28,10,24,26,-10,6,-64,-62,50,28,-54,22,2,28,26,56,14,-20,20,-10,26,-28,-18,-60,-42,34,20,-16
8865,j,1,"[0,0,1,-777,-7965]",0,1,2,0,1,-5,6,-4,2,-7,7,3,0,1,-3,-1,3,10,12,13,10,-6,-4,0,15,0,-18,-7,14,-3,13,18,-16,0,-11,-6,6,-22,-3,-8,2,10,18,-10,15,-22,1,22,16,-11,28,14,19,-1,-18,17,-31,-6,-6,-6,24,14,-2,9,-10,-15,-17,-6,13,4,-8,6,3,26,10,14,16,0,-6,34,-21,-1,29,26,37,-19,12,-9,17,-29,6,20,-24,-24,-19,-11,4,39,-18,7,-26,20,-22,-19,-32,14,24,-46,-20,-26,16,-23,-33,-43,10,36,-17,34,-14,-48,-3,36,23,-32,34,-17,1,36,-46,12,-8,-42,-8,34,-24,32,8,15,-9,-36,27,-18,15,-31,40,-12,2,35,25,46,-32,8,-42,-45,-6,10,48,-34,6,16,-4,30,-30,18,-12,-38,-24,-12,61,6,25,-27,-45,-29,6,26,-19,9,-2,18,-26,-56,-8,42,40,-30,4,42,-23,47,-13,-42,53,64,-16,23,-8,-24,-19,6,12,-11
4851,b,1,"[0,0,1,-2058,-81034]",0,1,0,0,4,0,1,5,4,-3,8,-4,1,7,-4,1,-8,-12,0,-2,3,-4,-11,15,12,12,-2,0,9,-8,-11,16,-7,-12,-12,-19,4,-12,-2,-8,8,20,-4,-7,-8,11,24,4,-8,4,-16,17,12,-28,-18,12,12,12,24,-20,21,-8,21,24,23,28,-5,12,-17,9,-20,14,24,-32,-29,23,-5,-20,-24,3,0,-35,-28,-11,-16,35,-20,36,36,29,0,7,-12,4,-1,-12,-19,12,-8,-28,-1,-7,0,28,16,0,13,11,0,0,-36,35,-37,-26,12,-1,12,48,25,-24,-4,20,-25,-41,-32,-24,15,-12,-6,8,23,-19,-15,36,-47,-22,-36,-5,48,32,-8,-24,-16,-12,-4,16,25,-12,-49,-32,-8,20,-50,-12,-41,8,-37,0,-45,36,15,8,-8,-20,-49,40,-20,12,-23,-21,25,40,36,-34,-40,-23,41,-16,35,28,-36,19,33,-56,-23,8,-28,24,-14,-45,-31,8,-47,8,32,32,8,0,-1,2,24,0
3304,b,1,"[0,1,0,16,-32]",0,1,0,-2,3,1,2,-6,-4,2,-3,6,10,-5,2,4,0,-2,1,10,-8,16,6,-10,17,11,-5,-8,-2,-3,11,-6,18,1,-13,-4,-9,21,0,21,-1,0,-8,22,15,13,2,15,10,1,-1,10,16,-18,26,16,18,-12,-28,-23,-22,21,-4,6,-22,-7,35,-22,-25,-8,6,-16,21,-8,22,6,-25,25,-4,-2,12,-14,19,-34,-8,-2,-25,-4,35,18,30,16,19,0,18,-35,1,0,0,-18,34,30,-1,24,36,-24,-26,32,4,24,-16,23,-23,-30,3,-38,40,-43,-10,0,-16,42,-29,-44,-21,10,-21,-18,-24,-8,3,-21,-16,14,-32,-18,-22,-17,24,-40,12,-30,-3,-39,-17,12,25,44,55,-19,-51,56,42,18,-29,38,-20,-6,35,-21,-43,42,-20,-49,27,-8,12,-12,48,-35,22,30,-5,-52,-4,-28,-20,0,-60,10,33,-14,46,0,23,-6,18,6,-47,19,32,-30,-53,-24,50,-15,-60,6,-31,-50,42,-26
8218,c,1,"[1,0,1,-801,-13516]",1,3,-1,-2,0,1,0,2,-6,5,-3,0,5,5,-3,-4,0,0,6,8,-7,-15,2,14,-12,-12,-10,9,-4,0,14,-3,8,12,9,17,0,-10,-4,11,-9,12,-3,-22,0,14,0,-25,23,-19,3,-19,27,-3,17,12,0,0,27,20,-1,-3,14,-33,-25,-9,-28,-18,-22,8,-3,35,6,6,8,11,5,-12,-9,-7,-6,-16,-36,32,-18,-7,-37,-6,30,29,-33,-13,-39,30,-37,9,-10,36,-12,15,-43,-25,8,39,-36,-9,8,23,1,-18,-18,-22,-10,-34,-21,-7,-7,-24,-16,-42,18,-24,-25,26,27,6,-22,-6,-10,30,-34,-34,-31,-15,-43,2,-15,-22,6,-4,-18,6,-52,30,14,-42,14,-36,-31,-18,50,-48,50,15,-43,-33,2,-18,-22,6,50,-48,15,-6,-28,39,54,-24,-4,-40,-10,33,33,50,39,-4,-1,-54,-52,39,-61,2,-40,-12,-13,6,-54,42,-52,20,53,21,29,21,56,6,-24,-45,29,-10,36,45
8400,bl,5,"[0,-1,0,-365608,84393712]",0,2,0,-1,0,-1,4,-6,-2,4,8,-2,0,10,-6,-4,0,-6,-4,6,4,-8,-10,0,-4,-6,14,-2,8,12,-2,14,0,20,-10,-4,6,8,10,20,-8,-22,12,-18,0,-2,10,-8,-20,-16,12,-2,22,0,2,12,30,-24,22,0,10,26,4,-30,28,8,-10,18,4,-18,12,22,30,8,32,-22,20,-16,-26,-6,18,-22,36,6,0,-2,24,-4,34,-10,22,-32,28,16,8,-12,44,24,6,-6,20,30,-12,2,44,-6,-12,-34,-28,-18,-24,26,48,42,22,44,-8,2,-4,24,18,28,-2,-2,18,12,4,-2,-10,0,-8,-6,12,24,-48,-6,-22,-14,2,-36,-6,10,44,38,-56,-36,-26,-56,-14,-42,-20,-32,2,18,20,-24,12,0,-40,18,22,-26,4,-26,8,12,-18,-24,16,-14,50,-30,-28,22,24,54,48,-38,36,38,-40,-10,0,4,-22,-10,64,30,-30,44,-54,48,-34,12,44,38,-60,22,50,50,30,-24
9504,e,1,"[0,0,0,1701,55026]",0,1,0,0,-3,4,-1,1,1,0,1,-2,2,0,3,-6,0,9,-6,3,13,-4,14,-1,-7,-2,1,-10,8,7,-10,10,-5,-19,-6,20,-2,-11,-8,1,-6,-14,-2,16,-11,-6,12,24,14,14,12,-24,21,12,28,0,26,18,21,1,-17,9,20,-8,2,35,-7,2,-4,24,36,-30,-6,6,10,1,16,-16,-22,-4,28,-32,4,26,-20,23,-7,36,14,-18,0,-16,-22,12,-4,36,19,16,-11,-28,30,17,20,24,11,25,46,18,24,34,-17,4,-1,31,22,4,16,14,-28,24,11,1,8,-22,-24,14,1,0,52,-27,12,21,10,-12,-40,-2,-42,8,-26,-8,-39,-30,-10,-38,-18,-27,-34,16,50,33,-51,-27,-27,34,16,-28,17,-3,17,32,-20,42,24,1,13,-36,44,-43,2,41,4,34,0,-34,32,-4,-32,0,4,-26,19,-34,6,-25,-48,22,59,-22,30,44,-44,12,-13,51,-3,57,-59,38,-20,-22,19,-4
6786,e,2,"[1,-1,0,-9531,189157]",1,4,-1,0,2,0,4,1,-2,-4,-8,-1,8,-2,-10,4,0,-6,-12,-2,-4,-8,-14,8,-4,-10,10,-6,8,4,-2,-2,8,-12,6,-4,18,-16,14,-4,-8,18,-20,22,-24,10,18,8,-20,-8,12,-2,6,0,-14,12,14,-16,18,8,22,14,-4,-22,-4,16,26,18,-28,-14,36,-2,6,-8,8,-10,20,0,-38,-2,6,34,-20,-18,16,2,-8,-20,30,26,-30,24,-12,16,16,-36,-4,0,10,6,-20,-26,-12,42,-44,22,28,-38,-12,-26,16,-22,-24,-26,-10,20,-16,-18,12,-24,-14,-28,-42,-30,-38,-44,28,-46,-26,-16,32,38,-4,40,-24,22,30,-22,10,44,-30,38,-12,18,0,-12,-50,-24,14,22,4,-16,46,-2,20,16,20,-40,-24,-42,42,42,-52,22,-32,12,-42,-8,-32,-58,50,42,52,-2,24,18,32,6,-28,58,16,14,8,-44,6,-2,-32,-6,-34,12,-30,-48,2,4,-20,-14,-12,-26,58,62,-26,56
2912,e,1,"[0,0,0,-61,180]",0,4,0,0,-2,1,4,1,2,-4,4,-2,0,2,-2,-4,8,-2,4,14,-12,-8,14,12,-4,14,-2,6,16,-4,10,18,-4,0,-6,0,2,24,-2,4,0,-18,-12,22,20,26,-14,-8,-20,8,-12,22,-6,-24,-18,16,-6,-12,-18,8,22,18,16,-2,-12,8,-14,10,4,2,-4,14,6,-8,32,6,-12,0,-34,-34,18,22,24,10,-16,-6,-8,-12,-22,18,14,8,-24,-16,8,-36,20,24,-18,2,16,10,-44,10,-24,-22,-28,22,20,30,20,-14,8,26,-30,-28,-40,2,28,0,-18,4,30,34,6,44,-20,6,-22,-32,0,6,20,-32,-20,-18,-34,-26,30,4,-2,-22,-4,26,-36,-20,-34,16,-42,18,40,48,18,42,-20,8,28,-12,-20,-10,-22,-10,-36,-38,-32,0,50,-56,4,-10,-22,-42,44,14,-52,50,-32,26,36,-6,-56,46,-8,8,30,38,0,-10,22,-44,-6,-24,42,-52,52,-18,-12,66,58,-10,38,-8
